"DATASET";"DOELGROEP";"SUBDOELGROEP";"CODE_EMISSIEOORZAAK";"EMISSIEOORZAAK";"COMPARTIMENT";"STOFCODE";"STOF";"EENHEID";1990;1995;2000;2005;2010;2013;2014;2015
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280019";"Stilliggend NL, Chemie/Gastankers";"Lucht";"515";"Benzeen";"kg";;;;;1031.49;616.972;758.348;758.348
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280020";"Stilliggend NL, Bulkcarrier";"Lucht";"515";"Benzeen";"kg";;;;;563.572;680.705;654.937;654.937
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280021";"Stilliggend NL, Containerschepen";"Lucht";"515";"Benzeen";"kg";;;;;693.976;976.849;1177.3;1177.3
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280022";"Stilliggend NL, Conventioneel stukgoed";"Lucht";"515";"Benzeen";"kg";;;;;292.716;271.979;304.724;304.724
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280023";"Stilliggend NL, Roro lading/autoschepen";"Lucht";"515";"Benzeen";"kg";;;;;411.188;236.599;289.644;289.644
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280024";"Stilliggend NL, Koelschepen";"Lucht";"515";"Benzeen";"kg";;;;;198.796;156.185;164.385;164.385
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280025";"Stilliggend NL, Passagierschepen";"Lucht";"515";"Benzeen";"kg";;;;;195.491;891.581;959.057;959.057
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart stilliggend";"0280026";"Stilliggend NL, Overige schepen";"Lucht";"515";"Benzeen";"kg";;;;;996.786;1026.46;1251.18;1251.18
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280027";"Varend NL, Olietankers";"Lucht";"515";"Benzeen";"kg";;;;;339.813;344.899;424.25;424.25
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280028";"Varend NL, Chemie/Gastankers";"Lucht";"515";"Benzeen";"kg";;;;;1197.05;994.877;1015.62;1015.62
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280029";"Varend NL, Bulkcarrier";"Lucht";"515";"Benzeen";"kg";;;;;453.575;379.158;408.629;408.629
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280030";"Varend NL, Containerschepen";"Lucht";"515";"Benzeen";"kg";;;;;3609.23;3159.5;3680.91;3680.91
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280031";"Varend NL, Conventioneel stukgoed";"Lucht";"515";"Benzeen";"kg";;;;;915.939;723.939;821.131;821.131
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280032";"Varend NL, Roro lading/autoschepen";"Lucht";"515";"Benzeen";"kg";;;;;1214.56;967.321;1010.04;1010.04
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280033";"Varend NL, Koelschepen";"Lucht";"515";"Benzeen";"kg";;;;;172.305;170.937;181.084;181.084
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280034";"Varend NL, Passagierschepen";"Lucht";"515";"Benzeen";"kg";;;;;307.408;349.673;362.339;362.339
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280035";"Varend NL, Overige schepen";"Lucht";"515";"Benzeen";"kg";;;;;1383.94;1238.06;1027.92;1027.92
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"8914702";"SBI 24.45: Vervaardiging van overige non-ferrometalen, aluminium";"Lucht";"515";"Benzeen";"kg";16.259;388.202;0.55;6;5;5.09567;5.37261;5.39778
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"T104702";"SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, aluminium";"Lucht";"515";"Benzeen";"kg";2.889;2542.37;3.96;62.8;37.95;35.9;89.81;97.7837
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"T104704";"SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, koper";"Lucht";"515";"Benzeen";"kg";;111.6;;1;137.43;46.026;35.092;38.2076
"ER Reeks 1990-2014 Definitief";"Overige industrie";"Basismetaal";"T104706";"SBI 24.45 (per bedrijf) Vervaardiging van overige non-ferrometalen, zink";"Lucht";"515";"Benzeen";"kg";;;;4.23;126.3;143.52;107.4;116.935
"ER Reeks 1990-2014 Definitief";"Consumenten";"Productgebruik Consumenten";"0801801";"Houtskoolverbruik door consumenten: barbecuen";"Lucht";"515";"Benzeen";"kg";3957.3;4239.85;4325.51;4402.01;4517.87;4446.72;4464.12;4481.23
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0403707";"NMI3 vervluchtiging tijdens spuittoepassing";"Lucht";"515";"Benzeen";"kg";;;;512.532;864.937;857.906;876.26;876.26
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0403708";"NMI3 cumulatieve vervluchtiging vanaf gewas, open teelt";"Lucht";"515";"Benzeen";"kg";;;;543.044;1075.93;1067.18;1090.01;1090.01
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0403709";"NMI3 vervluchtiging door toepassing in kassen";"Lucht";"515";"Benzeen";"kg";;;;0.0026983;0.0113409;0.0112487;0.0114894;0.0114894
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0102001";"Uitlaatgassen brommobielen, bebouwde kom";"Lucht";"515";"Benzeen";"kg";;7.50789;83.4566;141.769;184.448;173.343;168.539;170.202
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0102003";"Uitlaatgassen brommobielen, buitenweg";"Lucht";"515";"Benzeen";"kg";;2.60354;28.9406;49.1619;64.0717;60.6916;59.0914;59.9662
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Luchtvaart";"E309906";"Schiphol, vliegverkeer-APU";"Lucht";"515";"Benzeen";"kg";97.0778;149.441;231.222;258.874;265.934;309.29;323.463;342.42
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Luchtvaart";"E309907";"Schiphol, uitlaatgasssen Grondmaterieel";"Lucht";"515";"Benzeen";"kg";609.07;917.937;963.242;996.004;835.531;784.22;664.582;570.912
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Luchtvaart";"E309908";"Overige vliegvelden, uitlaatgassen Grondmaterieel, excl. militair";"Lucht";"515";"Benzeen";"kg";47.3493;49.6322;50.7371;73.6078;86.8374;105.691;93.3341;83.3012
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100423";"Uitlaatgassen autobussen ov diesel, bebouwde kom";"Lucht";"515";"Benzeen";"kg";51852;35817.4;18157;11076.9;4409.79;2464.77;1894.94;1584.91
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100424";"Uitlaatgassen autobussen ov diesel, autosnelweg";"Lucht";"515";"Benzeen";"kg";1785.36;1064.07;427.56;247.542;76.2152;41.5407;31.8358;26.5454
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100425";"Uitlaatgassen autobussen ov diesel, buitenweg";"Lucht";"515";"Benzeen";"kg";21454.6;12840.2;5259;3129.36;1050.23;577.032;442.846;369.724
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100426";"Uitlaatgassen autobussen touringcars diesel, bebouwde kom";"Lucht";"515";"Benzeen";"kg";3678.69;2473.16;1677.7;964.843;523.007;293.791;243.975;204.021
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100427";"Uitlaatgassen autobussen touringcars diesel, autosnelweg";"Lucht";"515";"Benzeen";"kg";9717.57;5633.32;3040.75;1685.13;986.218;542.659;444.319;373.87
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100428";"Uitlaatgassen autobussen touringcars diesel, buitenweg";"Lucht";"515";"Benzeen";"kg";9294.05;5411.03;2977.79;1688.75;993.92;551.181;453.025;380.835
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100429";"Uitlaatgassen autobussen ov aardgas, bebouwde kom";"Lucht";"515";"Benzeen";"kg";;;;;689.577;1041.31;1050.25;1059.67
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100430";"Uitlaatgassen autobussen ov aardgas, autosnelweg";"Lucht";"515";"Benzeen";"kg";;;;;15.7083;23.7095;23.9125;24.1273
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100431";"Uitlaatgassen autobussen ov aardgas, buitenweg";"Lucht";"515";"Benzeen";"kg";;;;;201.988;304.924;307.537;310.298
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100432";"Uitlaatgassen autobussen touringcars aardgas, bebouwde kom";"Lucht";"515";"Benzeen";"kg";;;;;1.23632;1.47291;1.54024;0.181873
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100433";"Uitlaatgassen autobussen touringcars aardgas, autosnelweg";"Lucht";"515";"Benzeen";"kg";;;;;2.15812;2.56614;2.6834;0.317007
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100434";"Uitlaatgassen autobussen touringcars aardgas, buitenweg";"Lucht";"515";"Benzeen";"kg";;;;;2.2087;2.62808;2.74819;0.324607
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100438";"Uitlaatgassen autobussen touringcars overig, bebouwde kom";"Lucht";"515";"Benzeen";"kg";0.0306326;0.0120918;0.0116888;0.0209591;0.0261989;0.0205561;0.01975;0.0177347
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100439";"Uitlaatgassen autobussen touringcars overig, autosnelweg";"Lucht";"515";"Benzeen";"kg";0.0303833;0.0119934;0.0115936;0.0207886;0.0259858;0.0203888;0.0195893;0.0175904
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100440";"Uitlaatgassen autobussen touringcars overig, buitenweg";"Lucht";"515";"Benzeen";"kg";0.0156139;0.00616336;0.00595792;0.0106832;0.013354;0.0104777;0.0100668;0.0090396
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401107";"Mobiele werktuigen containeroverslag";"Lucht";"515";"Benzeen";"kg";2355.23;2534.28;2619.65;2597.89;1589.88;1108.02;1047.79;903.697
"ER Reeks 1990-2014 Definitief";"Landbouw";"Energiegebruik Landbouw";"6800201";"Aardgasverbruik landbouw (WKK)";"Lucht";"515";"Benzeen";"kg";865.938;2946.29;2981.11;7272.48;30416.2;26954.4;21999.3;22687.9
"ER Reeks 1990-2014 Definitief";"Landbouw";"Energiegebruik Landbouw";"6800202";"Aardgasverbruik landbouw (niet WKK)";"Lucht";"515";"Benzeen";"kg";38070.9;39177.7;35611.3;31557.8;23560.7;20152.1;19078.8;18390.2
"ER Reeks 1990-2014 Definitief";"Chemische Industrie";"Chemische Industrie basisproducten";"8912900";"SBI 20.149: Basischemie organisch (geen petrochemische producten)";"Lucht";"517";"Ethyleenoxide";"kg";;;;170;172;168;167;163
"ER Reeks 1990-2014 Definitief";"Chemische Industrie";"Chemische Industrie basisproducten";"8913000";"SBI 20.13: Basischemie anorganisch";"Lucht";"517";"Ethyleenoxide";"kg";21;298;78;177;186;182;181;176
"ER Reeks 1990-2014 Definitief";"Chemische Industrie";"Chemische Industrie basisproducten";"T101100";"SBI 20.1 (per bedrijf): Vervaardiging van chemische basisproducten";"Lucht";"517";"Ethyleenoxide";"kg";180902;34730;9751;8524;78;;296;243.768
"ER Reeks 1990-2014 Definitief";"Chemische Industrie";"Chemische Industrie basisproducten";"T102501";"SBI 20.141 (per bedrijf): Vervaardiging van petrochemische producten";"Lucht";"517";"Ethyleenoxide";"kg";;;;;836;8021.41;781.48;1131.12
"ER Reeks 1990-2014 Definitief";"Chemische Industrie";"Chemische Industrie basisproducten";"T102800";"SBI 20.16 (per bedrijf): Vervaardiging van kunststof in primaire vorm";"Lucht";"517";"Ethyleenoxide";"kg";2437;896.25;125.41;514;5;;;
"ER Reeks 1990-2014 Definitief";"Chemische Industrie";"Chemische Industrie overig";"T103600";"SBI 20.59 (per bedrijf): Vervaardiging van overige chemische producten n.e.g.";"Lucht";"517";"Ethyleenoxide";"kg";2787;3324;1285;;1;21.6;28.07;23.1168
"ER Reeks 1990-2014 Definitief";"Consumenten";"Energiegebruik Consumenten";"0012102";"Vuurhaarden consumenten, hoofdverwarming woningen";"Lucht";"536";"Fluorantheen";"kg";24.1394;12.753;5.41002;2.01578;1.28868;1.23402;1.20881;1.20881
"ER Reeks 1990-2014 Definitief";"Bouw";"Overig bouw";"0020401";"SBI 41-43: Bouwnijverheid";"Lucht";"536";"Fluorantheen";"kg";2.52503;1.86179;;2.48;2.528;3.4;3.6;3.6
"ER Reeks 1990-2014 Definitief";"Handel, Diensten en Overheid (HDO)";"Energiegebruik en processen Handel, Diensten en Overheid (HDO)";"0020500";"Handel, diensten, overheid";"Lucht";"536";"Fluorantheen";"kg";2.60847;0.289945;0.0689335;19.3191;18.04;19.8772;20.425;20.454
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100101";"Uitlaatgassen personenauto's benzine, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";1149.66;636.25;329.376;255.047;224.166;210.44;203.693;204.246
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100102";"Uitlaatgassen personenauto's benzine, autosnelweg";"Lucht";"536";"Fluorantheen";"kg";312.95;186.311;109.286;54.4398;32.5502;27.6397;25.2861;25.5782
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100103";"Uitlaatgassen personenauto's benzine, buitenweg";"Lucht";"536";"Fluorantheen";"kg";390.063;243.663;173.797;162.814;160.78;155.214;150.866;149.989
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100201";"Uitlaatgassen personenauto's diesel, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";162.834;105.002;71.0634;44.3133;28.906;20.1654;15.3031;15.309
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100202";"Uitlaatgassen personenauto's diesel, autosnelweg";"Lucht";"536";"Fluorantheen";"kg";118.293;84.3512;55.8958;24.701;15.1202;12.4145;11.4062;14.1622
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100203";"Uitlaatgassen personenauto's diesel, buitenweg";"Lucht";"536";"Fluorantheen";"kg";126.031;97.2517;74.355;43.1553;23.5367;17.3608;13.8888;13.8054
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100301";"Uitlaatgassen personenauto's LPG, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";17.0156;7.79972;4.2563;1.96218;1.48649;1.20959;0.998556;0.915244
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100302";"Uitlaatgassen personenauto's LPG, autosnelweg";"Lucht";"536";"Fluorantheen";"kg";23.0104;7.59569;3.30863;1.25896;1.10774;1.01666;0.79107;0.723753
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100303";"Uitlaatgassen personenauto's LPG, buitenweg";"Lucht";"536";"Fluorantheen";"kg";20.0048;8.87507;5.34583;2.38684;2.06277;1.78177;1.46073;1.34321
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100401";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";108.288;39.9464;8.9008;3.699;1.01798;0.535219;0.490212;0.435004
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100402";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, autosnelweg";"Lucht";"536";"Fluorantheen";"kg";8.44419;7.56448;4.48378;1.81858;0.515548;0.270792;0.242262;0.205203
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100403";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, buitenweg";"Lucht";"536";"Fluorantheen";"kg";18.0277;11.038;5.62205;2.26455;0.580328;0.26766;0.233806;0.195442
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100501";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";207.548;108.02;60.7344;43.7161;32.4045;25.3501;22.9434;20.1427
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100502";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, autosnelweg";"Lucht";"536";"Fluorantheen";"kg";77.9314;101.674;89.8303;55.1612;38.9857;29.2428;26.646;24.2096
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100503";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, buitenweg";"Lucht";"536";"Fluorantheen";"kg";107.581;83.8267;69.4255;41.9637;28.5711;22.2108;20.1277;17.8918
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100601";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";2.97144;1.41307;0.418869;0.264164;0.122185;0.082064;0.0799788;0.0688788
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100602";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, autosnelweg";"Lucht";"536";"Fluorantheen";"kg";0.502863;0.60754;0.421816;0.228726;0.0950255;0.0528777;0.0488257;0.0388003
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100603";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, buitenweg";"Lucht";"536";"Fluorantheen";"kg";1.20396;0.789649;0.396113;0.236796;0.0927553;0.0518136;0.047807;0.0382182
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100701";"Uitlaatgassen zware bedrijfsvoertuigen excl. autobussen, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";519.656;384.53;154.545;75.2737;42.1765;23.7996;19.9616;18.6865
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100702";"Uitlaatgassen zware bedrijfsvoertuigen excl. autobussen, autosnelweg";"Lucht";"536";"Fluorantheen";"kg";279.19;303.562;231.96;118.187;61.3306;34.7133;28.7808;26.6079
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100703";"Uitlaatgassen zware bedrijfsvoertuigen excl. autobussen, buitenweg";"Lucht";"536";"Fluorantheen";"kg";245.754;180.489;104.124;55.8086;33.8232;19.6027;16.5306;15.4983
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100901";"Uitlaatgassen motorfietsen, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";0.696947;1.01655;1.08198;0.980077;0.830065;0.690085;0.640346;0.520123
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100902";"Uitlaatgassen motorfietsen, autosnelweg";"Lucht";"536";"Fluorantheen";"kg";1.04542;1.52483;1.62297;1.47012;1.2451;1.03513;0.96052;0.780185
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100903";"Uitlaatgassen motorfietsen, buitenweg";"Lucht";"536";"Fluorantheen";"kg";1.74237;2.54138;2.70495;2.45019;2.07516;1.72521;1.60087;1.30031
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0101001";"Uitlaatgassen bromfietsen, bebouwde kom";"Lucht";"536";"Fluorantheen";"kg";124.719;94.0519;80.7728;50.0328;60.9802;59.2085;59.1069;59.1322
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0101003";"Uitlaatgassen bromfietsen, buitenweg";"Lucht";"536";"Fluorantheen";"kg";46.105;38.5037;32.6866;20.2297;24.4458;24.3687;24.5075;24.5569
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Railverkeer";"0200100";"Spoorwegen - vrachtvervoer";"Lucht";"536";"Fluorantheen";"kg";1.03637;1.07618;1.34864;1.29563;1.30033;0.961793;0.996072;0.956742
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Railverkeer";"0200300";"Spoorwegen diesel personenvervoer";"Lucht";"536";"Fluorantheen";"kg";2.02073;2.06958;2.37234;2.03029;2.03765;1.93217;1.99989;1.92092
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Binnenscheepvaart";"0230000";"Binnenvaart internationaal";"Lucht";"536";"Fluorantheen";"kg";54.6415;46.7734;41.1921;29.3992;21.9364;22.9416;22.2915;21.8417
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Binnenscheepvaart";"0230001";"Binnenvaart internationaal duwvaart";"Lucht";"536";"Fluorantheen";"kg";5.07002;6.06768;5.79062;6.79984;7.71774;7.37122;7.43948;7.50524
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Binnenscheepvaart";"0230002";"Binnenvaart nationaal";"Lucht";"536";"Fluorantheen";"kg";15.0716;12.0051;15.9447;13.3907;11.1405;11.7263;11.3723;10.927
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Binnenscheepvaart";"0230003";"Binnenvaart nationaal duwvaart";"Lucht";"536";"Fluorantheen";"kg";0.923481;1.10893;1.29478;2.19813;2.50786;2.36176;2.52197;2.58182
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Binnenscheepvaart";"0230005";"Binnenvaart passagiers- en veerboten";"Lucht";"536";"Fluorantheen";"kg";7.5182;8.64;8.64;8.64;8.64;8.64;8.64;8.64
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Visserij";"0240103";"Visserij, Nederlandse kottervisserij en binnenvisserij";"Lucht";"536";"Fluorantheen";"kg";30.1299;33.3821;29.1165;20.4111;12.5695;9.64958;9.65197;9.65197
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401100";"Mobiele werktuigen landbouw";"Lucht";"536";"Fluorantheen";"kg";98.2357;90.9886;85.7363;62.0427;40.0798;31.4574;28.4327;25.6172
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401102";"Mobiele werktuigen, bouwsector";"Lucht";"536";"Fluorantheen";"kg";129.077;112.811;96.3817;57.8192;28.14;19.8743;16.9726;16.5201
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Recreatievaart";"0500100";"Recreatievaart uitlaatgassen";"Lucht";"536";"Fluorantheen";"kg";22.1223;23.9372;24.7995;24.0074;24.4834;24.6905;24.7488;24.7488
"ER Reeks 1990-2014 Definitief";"Consumenten";"Energiegebruik Consumenten";"0800700";"Vuurhaarden consumenten, koken";"Lucht";"536";"Fluorantheen";"kg";0.00246483;0.00117934;0.00116878;0.00134892;0.00100771;0.000943842;0.000719371;0.000719371
"ER Reeks 1990-2014 Definitief";"Consumenten";"Energiegebruik Consumenten";"0800800";"Vuurhaarden consumenten, warm water voorziening";"Lucht";"536";"Fluorantheen";"kg";0.0171756;0.00820054;0.00779185;0.00944476;0.00833015;0.00780217;0.00594661;0.00594661
"ER Reeks 1990-2014 Definitief";"Consumenten";"Productgebruik Consumenten";"0801000";"Branden van kaarsen";"Lucht";"536";"Fluorantheen";"kg";4.75692;4.92083;7.60023;7.78889;9.37069;9.47564;9.51271;9.54919
"ER Reeks 1990-2014 Definitief";"Consumenten";"Productgebruik Consumenten";"0801001";"Roken van sigaren";"Lucht";"536";"Fluorantheen";"kg";0.227983;0.214399;0.235477;0.284603;0.269029;0.243009;0.236778;0.240517
"ER Reeks 1990-2014 Definitief";"Consumenten";"Productgebruik Consumenten";"0802500";"Oplosmiddel- en ander productgebruik: Gecarbolineumd hout, consumenten";"Lucht";"536";"Fluorantheen";"kg";10780;7105;6687.06;5446.7;4214.51;3613.42;3432.75;3432.75
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0802501";"Oplosmiddel- en ander productgebruik: Gecarbolineumd hout, landbouw";"Lucht";"536";"Fluorantheen";"kg";3593.33;2368.33;2229.02;1815.6;1404.84;1204.47;1144.25;1144.25
"ER Reeks 1990-2014 Definitief";"Consumenten";"Productgebruik Consumenten";"0804000";"Oplosmiddel- en ander productgebruik: gecreosoteerd hout in de bouw, consumenten";"Lucht";"536";"Fluorantheen";"kg";32.45;28.15;25.09;24.29;24.29;24.2865;24.2865;24.2865
"ER Reeks 1990-2014 Definitief";"Handel, Diensten en Overheid (HDO)";"Productgebruik Handel, Diensten en Overheid (HDO)";"0804001";"Oplosmiddel- en ander productgebruik: gecreosoteerd hout in de bouw, HDO";"Lucht";"536";"Fluorantheen";"kg";251.47;218.16;194.44;188.22;188.22;188.22;188.22;188.22
"ER Reeks 1990-2014 Definitief";"Landbouw";"Productgebruik Landbouw";"0804002";"Oplosmiddel- en ander productgebruik: gecreosoteerd hout in de bouw, landbouw";"Lucht";"536";"Fluorantheen";"kg";243.36;211.12;188.17;188.17;182.1;182.099;182.099;182.099
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Railverkeer";"0804003";"Oplosmiddel- en ander productgebruik: gecreosoteerd hout in de bouw, verkeer en vervoer";"Lucht";"536";"Fluorantheen";"kg";283.92;246.31;219.53;212.51;212.51;212.507;212.507;212.507
"ER Reeks 1990-2014 Definitief";"Consumenten";"Productgebruik Consumenten";"0804100";"Oplosmiddel- en ander productgebruik: opstand van gecreosoteerd hout in de bouw, consumenten";"Lucht";"536";"Fluorantheen";"kg";570.1;558.75;537.54;516.32;500.437;493.037;490.571;490.571
