"DATASET";"DOELGROEP";"SUBDOELGROEP";"CODE_EMISSIEOORZAAK";"EMISSIEOORZAAK";"COMPARTIMENT";"STOFCODE";"STOF";"EENHEID";1990;1995;2000;2005;2010;2013;2014;2015
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0101003";"Uitlaatgassen bromfietsen, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00710912;0.00571373;0.00542685;0.00425563;0.00679773;0.0070941;0.00721461;0.00739505
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Railverkeer";"0200100";"Spoorwegen - vrachtvervoer";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00165349;0.00171802;0.00215312;0.00206828;0.0020755;0.00153512;0.00158992;0.00152714
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Railverkeer";"0200300";"Spoorwegen diesel personenvervoer";"Lucht";"103";"Arseenverb. (als As)";"kg";0.000902719;0.000925087;0.00106049;0.000907492;0.000910662;0.000863506;0.000893818;0.000858525
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401100";"Mobiele werktuigen landbouw";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0177511;0.0179558;0.0180624;0.0173008;0.0172311;0.0174965;0.0174994;0.0174994
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401102";"Mobiele werktuigen, bouwsector";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0196898;0.0212235;0.0224813;0.0213536;0.0207114;0.0201985;0.0190691;0.019585
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Recreatievaart";"0500100";"Recreatievaart uitlaatgassen";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00395475;0.00430822;0.00474295;0.00497797;0.00497492;0.00497288;0.00497445;0.00497445
"ER Reeks 1990-2014 Definitief";"Chemische Industrie";"Chemische Industrie basisproducten";"8913000";"SBI 20.13: Basischemie anorganisch";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;0.258;0.258;0.258;0.258;0.258
"ER Reeks 1990-2014 Definitief";"Drinkwatervoorziening";"Drinkwaterbedrijven";"8920500";"SBI 36: Winning en distributie van water";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0463388;0.0529533;0.0315777;0.0145126;0.0108298;0.0118388;0.00840825;0.00840825
"ER Reeks 1990-2014 Definitief";"Afvalverwijdering";"AVI's";"T104201";"SBI 38.2 (per bedrijf): Afvalinzameling/beh, AVI's";"Lucht";"103";"Arseenverb. (als As)";"kg";0.39986;0.880134;;38.0723;82.1497;64.0458;37.8594;37.8594
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401103";"Mobiele werktuigen industrie";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00178922;0.00298087;0.00311227;0.0028387;0.00226592;0.00187737;0.00167794;0.00149347
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401104";"Mobiele werktuigen consumenten";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00361803;0.0071251;0.00806789;0.00804598;0.00784447;0.00760939;0.00749791;0.00739972
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Mobiele werktuigen";"0401105";"Mobiele werktuigen HDO";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00155077;0.00282219;0.00323504;0.00337421;0.00332124;0.00336882;0.00337692;0.00339384
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Luchtvaart";"0120210";"Bandenslijtage vliegtuigen op vliegvelden";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0025666;0.00326049;0.00419202;0.00546453;0.0059341;0.00674624;0.0069934;0.00726077
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280000";"Ankerligger NCP, Olietankers";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.279278;0.213743;0.191666;0.191666
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280001";"Ankerligger NCP, Chemie/Gastankers";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.341502;0.298036;0.248757;0.248757
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280002";"Ankerligger NCP, Bulkcarrier";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.0424894;0.0813783;0.100741;0.100741
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280003";"Ankerligger NCP, Containerschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.271271;0.160545;0.261108;0.261108
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280004";"Ankerligger NCP, Conventioneel stukgoed";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.0145862;0.0473243;0.0669198;0.0669198
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280005";"Ankerligger NCP, Roro lading/autoschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.0161826;0.0181044;0.0164293;0.0164293
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280006";"Ankerligger NCP, Koelschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.00474564;0.00330682;0.0101779;0.0101779
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280007";"Ankerligger NCP, Passagierschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.00250698;0.000171372;5.64447E-05;5.64447E-05
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280008";"Ankerligger NCP, Overige schepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.0467828;0.121914;0.0851664;0.0851664
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280009";"Varend NCP, Olietankers";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;3.29658;2.83062;2.9288;2.9288
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280010";"Varend NCP, Chemie/Gastankers";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;4.98177;4.33521;4.55574;4.55574
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280011";"Varend NCP, Bulkcarrier";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;2.43646;2.55276;2.84314;2.84314
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280012";"Varend NCP, Containerschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;13.1052;12.1443;12.6855;12.6855
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280013";"Varend NCP, Conventioneel stukgoed";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;3.09036;2.90902;3.14006;3.14006
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280014";"Varend NCP, Roro lading/autoschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;5.36473;5.04897;5.14785;5.14785
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280015";"Varend NCP, Koelschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.821387;0.397762;0.405534;0.405534
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280016";"Varend NCP, Passagierschepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;1.547;1.81393;1.86096;1.86096
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart NCP (inclusief ankerliggers)";"0280017";"Varend NCP, Overige schepen";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;1.69959;1.39849;1.48983;1.48983
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280027";"Varend NL, Olietankers";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.267361;0.283728;0.337088;0.337088
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Zeescheepvaart varend op Nederlands grondgebied";"0280028";"Varend NL, Chemie/Gastankers";"Lucht";"103";"Arseenverb. (als As)";"kg";;;;;0.918246;0.85675;0.848166;0.848166
